                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.0405,                0.61554,                 1.1863,                0.93377,                0.94138,                 0.9745,                0.74065,                0.85489,                 0.4642,                 1.1451,             0.00046226,             0.00046226,             0.00046226
                    149,                 1.0233,                0.61831,                 1.1792,                0.92947,                0.94632,                0.97298,                0.74491,                0.84478,                0.45881,                 1.1391,             0.00045401,             0.00045401,             0.00045401
                    150,                 1.0411,                0.61479,                 1.1823,                0.92376,                0.94262,                0.97435,                 0.7447,                0.84729,                0.47214,                 1.1405,             0.00044576,             0.00044576,             0.00044576
                    151,                  1.032,                0.62406,                 1.1791,                0.92961,                0.93157,                0.97576,                0.73735,                0.86337,                0.47481,                 1.1451,              0.0004375,              0.0004375,              0.0004375
                    152,                 1.0386,                0.64223,                 1.1858,                0.92257,                0.95052,                 0.9748,                0.75109,                0.83559,                0.46338,                 1.1298,             0.00042925,             0.00042925,             0.00042925
                    153,                   1.03,                0.62449,                 1.1752,                0.93171,                0.93908,                0.97051,                0.73413,                 0.8636,                0.47243,                 1.1455,               0.000421,               0.000421,               0.000421
                    154,                 1.0243,                0.62583,                  1.155,                0.93204,                 0.9476,                0.97594,                0.74694,                0.85137,                 0.4631,                 1.1365,             0.00041275,             0.00041275,             0.00041275
                    155,                 1.0305,                 0.6282,                 1.1731,                0.92265,                0.95544,                0.97692,                0.75575,                0.82645,                0.45163,                 1.1286,              0.0004045,              0.0004045,              0.0004045
                    156,                 1.0387,                0.64082,                 1.1883,                0.93664,                0.94249,                 0.9754,                0.75465,                0.83833,                 0.4548,                 1.1371,             0.00039625,             0.00039625,             0.00039625
                    157,                 1.0232,                0.61764,                 1.1824,                0.93311,                0.95065,                0.97495,                0.75052,                0.85232,                0.45669,                 1.1392,             0.00038799,             0.00038799,             0.00038799
                    158,                 1.0146,                0.60598,                 1.1757,                0.93724,                0.95239,                0.97669,                0.75078,                0.84443,                0.45189,                 1.1302,             0.00037974,             0.00037974,             0.00037974
                    159,                  1.021,                0.61153,                 1.1934,                0.92659,                0.94671,                0.97808,                0.75576,                0.84888,                0.45255,                 1.1341,             0.00037149,             0.00037149,             0.00037149
                    160,                  1.009,                0.60745,                 1.1649,                0.92509,                0.95531,                0.97956,                0.76038,                0.81603,                0.44766,                 1.1209,             0.00036324,             0.00036324,             0.00036324
                    161,                 1.0046,                0.61145,                 1.1671,                0.93408,                0.94717,                0.97702,                  0.759,                0.81427,                0.45055,                 1.1187,             0.00035499,             0.00035499,             0.00035499
                    162,                 1.0127,                 0.6071,                 1.1658,                0.92932,                0.95556,                0.97697,                0.76279,                 0.8091,                0.44026,                 1.1155,             0.00034674,             0.00034674,             0.00034674
                    163,                 1.0066,                0.60345,                 1.1603,                0.92091,                0.95935,                0.97786,                0.76138,                0.80813,                0.44765,                 1.1112,             0.00033848,             0.00033848,             0.00033848
                    164,                  1.025,                0.61826,                 1.1653,                0.92984,                0.95684,                0.98079,                0.76209,                0.81485,                0.44641,                 1.1154,             0.00033023,             0.00033023,             0.00033023
                    165,                0.98774,                0.59854,                 1.1494,                0.92581,                0.96301,                0.97923,                0.76405,                0.80183,                0.43902,                 1.1064,             0.00032198,             0.00032198,             0.00032198
                    166,                0.99091,                0.59642,                 1.1543,                 0.9283,                0.96044,                0.97817,                0.76504,                0.80191,                0.44276,                 1.1048,             0.00031373,             0.00031373,             0.00031373
                    167,                0.98466,                0.58233,                 1.1626,                0.93188,                0.94967,                0.97711,                0.76159,                0.80444,                0.43874,                 1.1045,             0.00030548,             0.00030548,             0.00030548
                    168,                 1.0084,                0.59651,                 1.1537,                0.93265,                0.95295,                0.97859,                0.75904,                0.81293,                0.45059,                 1.1161,             0.00029723,             0.00029723,             0.00029723
                    169,                 1.0072,                0.61584,                 1.1476,                0.92844,                0.95912,                0.97819,                0.76784,                0.80256,                0.44245,                 1.1082,             0.00028897,             0.00028897,             0.00028897
                    170,                0.98812,                0.60325,                 1.1556,                0.93858,                0.95548,                0.98075,                0.77219,                0.78688,                0.43449,                 1.0994,             0.00028072,             0.00028072,             0.00028072
                    171,                0.98033,                0.58299,                 1.1472,                0.93505,                0.96073,                0.98021,                0.77142,                0.79675,                0.42942,                 1.1038,             0.00027247,             0.00027247,             0.00027247
                    172,                 0.9837,                 0.5803,                 1.1429,                0.93053,                0.96498,                0.98038,                 0.7686,                0.80448,                0.43117,                 1.1057,             0.00026422,             0.00026422,             0.00026422
                    173,                0.99816,                0.58361,                 1.1465,                0.93301,                0.96817,                0.98025,                0.77155,                0.79399,                0.42793,                  1.103,             0.00025597,             0.00025597,             0.00025597
                    174,                0.98838,                0.59312,                 1.1633,                0.93795,                0.95596,                0.98027,                0.77334,                0.79457,                0.42686,                 1.1013,             0.00024772,             0.00024772,             0.00024772
                    175,                0.96635,                0.58325,                 1.1319,                0.93907,                0.95708,                0.98204,                0.77642,                0.77643,                0.41928,                 1.0944,             0.00023946,             0.00023946,             0.00023946
                    176,                0.98199,                0.57019,                 1.1526,                0.93757,                0.95675,                0.98225,                0.77794,                0.78465,                0.42402,                 1.0937,             0.00023121,             0.00023121,             0.00023121
                    177,                 0.9649,                0.58723,                  1.147,                0.92952,                0.96636,                0.98184,                0.77613,                0.78823,                0.42426,                 1.0943,             0.00022296,             0.00022296,             0.00022296
                    178,                0.98583,                0.58031,                 1.1323,                0.93793,                0.95567,                0.98214,                0.77358,                0.78602,                0.42152,                 1.0914,             0.00021471,             0.00021471,             0.00021471
                    179,                0.95808,                0.57256,                 1.1353,                0.94061,                0.95447,                0.98005,                0.77392,                 0.7779,                0.42257,                 1.0885,             0.00020646,             0.00020646,             0.00020646
                    180,                0.96027,                 0.5872,                 1.1461,                0.93874,                0.96129,                0.98122,                0.77776,                 0.7729,                0.42225,                 1.0868,             0.00019821,             0.00019821,             0.00019821
                    181,                 0.9584,                0.57409,                 1.1508,                0.93135,                0.95966,                0.98017,                0.77762,                0.77448,                 0.4232,                 1.0867,             0.00018995,             0.00018995,             0.00018995
                    182,                0.95862,                0.57671,                 1.1399,                 0.9331,                0.96357,                0.98051,                0.77766,                0.76552,                 0.4193,                  1.084,              0.0001817,              0.0001817,              0.0001817
                    183,                0.96519,                0.58028,                 1.1413,                0.94181,                0.95115,                0.98049,                0.78093,                0.76487,                0.41958,                 1.0825,             0.00017345,             0.00017345,             0.00017345
                    184,                 0.9624,                0.56999,                 1.1269,                0.93839,                0.96156,                0.98201,                0.78487,                0.75529,                0.41447,                 1.0781,              0.0001652,              0.0001652,              0.0001652
                    185,                0.95685,                 0.5708,                  1.143,                0.93266,                0.96651,                0.98017,                0.78081,                0.77209,                0.41486,                 1.0837,             0.00015695,             0.00015695,             0.00015695
                    186,                0.96215,                0.57511,                 1.1431,                0.94451,                0.95436,                0.98148,                0.78305,                0.75465,                0.41532,                 1.0797,              0.0001487,              0.0001487,              0.0001487
                    187,                0.97165,                0.57278,                 1.1398,                0.94256,                0.95702,                 0.9821,                 0.7755,                 0.7756,                0.42075,                  1.085,             0.00014044,             0.00014044,             0.00014044
                    188,                 0.9516,                0.55891,                 1.1168,                0.94706,                0.95702,                0.98208,                0.78419,                0.75365,                0.41191,                 1.0761,             0.00013219,             0.00013219,             0.00013219
                    189,                0.94998,                0.57547,                 1.1358,                0.94658,                0.95566,                0.98135,                0.78164,                0.76239,                0.41554,                  1.079,             0.00012394,             0.00012394,             0.00012394
                    190,                0.95291,                0.55412,                 1.1239,                0.94166,                 0.9601,                0.98298,                0.78632,                0.75117,                0.41095,                 1.0719,             0.00011569,             0.00011569,             0.00011569
                    191,                0.91255,                0.52506,                  1.147,                 0.9376,                0.96002,                0.98038,                0.77566,                0.77389,                0.42436,                 1.0823,             0.00010744,             0.00010744,             0.00010744
                    192,                0.90154,                0.50581,                 1.1292,                0.93543,                0.96179,                0.98042,                0.77508,                0.76942,                0.42809,                 1.0804,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    193,                 0.8605,                0.48703,                 1.1275,                 0.9326,                0.96285,                 0.9816,                0.78008,                 0.7639,                0.42155,                 1.0784,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    194,                0.87724,                0.49138,                 1.1298,                0.94158,                0.95985,                 0.9817,                0.78416,                0.76072,                0.41299,                 1.0757,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    195,                0.86225,                0.47741,                 1.1286,                0.93309,                0.96502,                0.98135,                0.78196,                0.75682,                0.41435,                 1.0763,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    196,                0.87629,                0.48094,                  1.124,                0.93693,                0.96482,                0.98195,                0.78405,                0.75533,                0.41376,                 1.0735,              6.618e-05,              6.618e-05,              6.618e-05
                    197,                0.86528,                0.47899,                 1.1201,                0.94188,                0.96073,                0.98291,                0.78455,                0.75121,                0.40882,                 1.0705,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    198,                0.85458,                0.46621,                 1.1122,                0.94607,                 0.9579,                0.98299,                 0.7879,                0.74291,                0.40699,                 1.0679,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    199,                0.84945,                0.47266,                 1.1129,                0.94527,                 0.9617,                0.98327,                0.78864,                0.73975,                0.40714,                 1.0654,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    200,                0.86521,                0.47821,                 1.1318,                0.94015,                0.96657,                0.98376,                0.78725,                0.74258,                0.40667,                 1.0651,             3.3173e-05,             3.3173e-05,             3.3173e-05
