                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4462,                 1.1148,                 1.4813,                0.69644,                 0.7415,                0.77345,                0.47722,                 1.3199,                0.97792,                 1.5205,              0.0013947,              0.0013947,              0.0013947
                     36,                  1.421,                 1.1022,                 1.4551,                0.74305,                0.73462,                 0.7741,                0.46479,                 1.3531,                0.98059,                 1.5173,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.4414,                 1.0703,                 1.4614,                0.75694,                0.77702,                0.80565,                0.49539,                 1.2863,                0.94214,                 1.4918,              0.0013782,              0.0013782,              0.0013782
                     38,                    1.4,                 1.0733,                 1.4406,                0.72326,                0.75394,                0.77988,                0.48352,                 1.3014,                 1.0158,                 1.5028,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.4203,                 1.0646,                 1.4277,                0.76801,                0.75233,                0.80857,                0.50139,                 1.2853,                0.90742,                 1.4905,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.4252,                 1.0679,                 1.4379,                0.68484,                 0.7832,                0.81178,                0.50465,                 1.2812,                0.93344,                 1.4982,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.4504,                 1.0685,                 1.4755,                0.71931,                0.77261,                0.80895,                0.49291,                 1.3112,                0.94936,                 1.5098,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.4088,                 1.0454,                 1.4444,                0.76805,                 0.8275,                0.84692,                0.53482,                 1.2427,                0.84269,                 1.4624,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.3785,                 1.0179,                 1.4275,                0.75723,                0.81561,                0.83355,                0.51701,                 1.2806,                0.85969,                 1.4923,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.3861,                 1.0038,                 1.4343,                0.76882,                0.80442,                0.82899,                0.52546,                 1.2556,                0.86761,                 1.4615,              0.0013204,              0.0013204,              0.0013204
